delta,average
knn_gold_delta,-2.415563808806226
knn_egal_delta,1.4250506895135118
avg_dist_gold_delta,-5.843952175205175
avg_dist_egal_delta,-2.0033376768854367
uncertainty_gold_delta,-6.415380746633744
uncertainty_egal_delta,-2.574766248314006
