delta,average
knn_gold_delta,-6.48546765787584
knn_egal_delta,0.8025673869126185
avg_dist_gold_delta,-6.853680818723518
avg_dist_egal_delta,0.43435422606494
uncertainty_gold_delta,-6.936990142930256
uncertainty_egal_delta,0.35104490185820225
