delta,average
knn_gold_delta,-2.50205634799633
knn_egal_delta,-1.1042266595647163
avg_dist_gold_delta,-4.458445128484954
avg_dist_egal_delta,-3.06061544005334
uncertainty_gold_delta,-3.138778018491152
uncertainty_egal_delta,-1.7409483300595383
