delta,average
knn_gold_delta,-2.163601006651566
knn_egal_delta,0.010498288393155994
avg_dist_gold_delta,-3.7387174428225385
avg_dist_egal_delta,-1.5646181477778167
uncertainty_gold_delta,-2.6973956564421115
uncertainty_egal_delta,-0.5232963613973899
