delta,average
knn_gold_delta,-4.0165011510976525
knn_egal_delta,-2.154702181935567
avg_dist_gold_delta,-4.2117583032837205
avg_dist_egal_delta,-2.3499593341216354
uncertainty_gold_delta,-3.5657697309584555
uncertainty_egal_delta,-1.70397076179637
