delta,average
knn_gold_delta,-4.169946558713609
knn_egal_delta,-0.93816709719079
avg_dist_gold_delta,-5.81980015442952
avg_dist_egal_delta,-2.5880206929067007
uncertainty_gold_delta,-3.4124618429859623
uncertainty_egal_delta,-0.18068238146314286
